INFO 2025-06-26 14:50:49,633 autoreload 22244 21408 Watching for file changes with StatReloader
WARNING 2025-06-26 14:50:56,801 log 22244 844 Not Found: /painel/
WARNING 2025-06-26 14:50:56,818 basehttp 22244 844 "GET /painel/ HTTP/1.1" 404 3543
WARNING 2025-06-26 14:51:01,017 log 22244 844 Not Found: /painel/
WARNING 2025-06-26 14:51:01,018 basehttp 22244 844 "GET /painel/ HTTP/1.1" 404 3543
INFO 2025-06-26 14:51:45,358 basehttp 22244 4424 "GET /recepcao/totem HTTP/1.1" 301 0
INFO 2025-06-26 14:51:45,381 basehttp 22244 20548 "GET /recepcao/totem/ HTTP/1.1" 200 10885
INFO 2025-06-26 14:51:45,440 basehttp 22244 20548 "GET /static/img/LOGO-CAMARA-PARAUAPEBAS.png HTTP/1.1" 200 714995
ERROR 2025-06-26 14:51:49,164 log 22244 20548 Internal Server Error: /recepcao/api/reconhecer-rosto/
ERROR 2025-06-26 14:51:49,164 basehttp 22244 20548 "POST /recepcao/api/reconhecer-rosto/ HTTP/1.1" 500 112
ERROR 2025-06-26 14:51:51,651 log 22244 20548 Internal Server Error: /recepcao/api/reconhecer-rosto/
ERROR 2025-06-26 14:51:51,662 basehttp 22244 20548 "POST /recepcao/api/reconhecer-rosto/ HTTP/1.1" 500 112
ERROR 2025-06-26 14:51:54,466 log 22244 20548 Internal Server Error: /recepcao/api/reconhecer-rosto/
ERROR 2025-06-26 14:51:54,467 basehttp 22244 20548 "POST /recepcao/api/reconhecer-rosto/ HTTP/1.1" 500 112
ERROR 2025-06-26 14:51:56,512 log 22244 20548 Internal Server Error: /recepcao/api/reconhecer-rosto/
ERROR 2025-06-26 14:51:56,512 basehttp 22244 20548 "POST /recepcao/api/reconhecer-rosto/ HTTP/1.1" 500 112
ERROR 2025-06-26 14:51:58,550 log 22244 20548 Internal Server Error: /recepcao/api/reconhecer-rosto/
ERROR 2025-06-26 14:51:58,551 basehttp 22244 20548 "POST /recepcao/api/reconhecer-rosto/ HTTP/1.1" 500 112
ERROR 2025-06-26 14:52:00,597 log 22244 20548 Internal Server Error: /recepcao/api/reconhecer-rosto/
ERROR 2025-06-26 14:52:00,597 basehttp 22244 20548 "POST /recepcao/api/reconhecer-rosto/ HTTP/1.1" 500 112
ERROR 2025-06-26 14:52:02,641 log 22244 20548 Internal Server Error: /recepcao/api/reconhecer-rosto/
ERROR 2025-06-26 14:52:02,642 basehttp 22244 20548 "POST /recepcao/api/reconhecer-rosto/ HTTP/1.1" 500 112
INFO 2025-06-26 14:52:03,686 basehttp 22244 20548 "GET / HTTP/1.1" 200 11465
INFO 2025-06-26 14:52:03,705 basehttp 22244 20548 "GET /static/css/style.css HTTP/1.1" 200 8539
INFO 2025-06-26 14:52:03,708 basehttp 22244 12148 "GET /static/js/masks.js HTTP/1.1" 200 6679
INFO 2025-06-26 14:52:03,720 basehttp 22244 11324 "GET /static/img/urutal-logo-sistema.png HTTP/1.1" 200 235140
INFO 2025-06-26 14:52:03,736 basehttp 22244 2432 "GET /static/videos/background-technology.mp4 HTTP/1.1" 200 5008128
INFO 2025-06-26 14:52:03,766 basehttp 22244 2432 "GET /static/img/1660156290.jpg HTTP/1.1" 200 151520
INFO 2025-06-26 14:52:05,746 basehttp 22244 2432 "GET /recepcao/ HTTP/1.1" 302 0
INFO 2025-06-26 14:52:05,751 basehttp 22244 2432 "GET /auth/login/?next=/recepcao/ HTTP/1.1" 200 7211
INFO 2025-06-26 14:52:11,016 basehttp 22244 2432 "POST /auth/login/ HTTP/1.1" 302 0
INFO 2025-06-26 14:52:11,066 basehttp 22244 2432 "GET /recepcao/ HTTP/1.1" 200 23796
INFO 2025-06-26 14:52:17,483 basehttp 22244 2432 "GET /recepcao/cadastro-visitantes/ HTTP/1.1" 200 28351
INFO 2025-06-26 14:52:17,512 basehttp 22244 2432 "GET /static/js/camera.js HTTP/1.1" 200 8129
ERROR 2025-06-26 14:52:21,646 views 22244 2432 Erro ao gerar vetor biométrico: Unsupported image type, must be 8bit gray or RGB image.
INFO 2025-06-26 14:52:21,656 views 22244 2432 Arquivo salvo: B:\User\Documents\5.Programacao\Projetos oficiais\SIGEPE_Projeto\Projeto_SIGEPE_ARIEL\Urutal\media\fotos_visitantes\e43a021a-6e7f-49d5-9393-acdb7360ae21_thumbnail.jpg
INFO 2025-06-26 14:52:21,657 views 22244 2432 Arquivo salvo: B:\User\Documents\5.Programacao\Projetos oficiais\SIGEPE_Projeto\Projeto_SIGEPE_ARIEL\Urutal\media\fotos_visitantes\e43a021a-6e7f-49d5-9393-acdb7360ae21_medium.jpg
